Terawatt-hours,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,Other#,Total,Oil_2,Natural Gas_2,Coal_2,Nuclear energy_2,Hydro electric_2,Renew- ables_2,Other#_2,Total_2,r,s
Indonesia,10.582,62.319,174.493,0,16.546,14.882,0.12000000000000455,278.942,6.7643855340700005,51.27646510337471,180.868959754,0,19.454378726530003,16.82764003364,0.005250000000046384,275.19707915161473,,
Japan,53.482866666666666,363.65420757299995,307.21383378,65.6361421,73.64050985099999,111.16190730662882,55.49633732973484,1030.2858046070303,41.5859559139785,353.54638940166666,298.79737511266666,42.999509207,77.53846662766662,125.5825586539578,64.79655825754662,1004.8468131744829,,
Malaysia,1.0547726399876018,66.81518490300779,75.265748,0,25.76699369254735,2.6298937324046046,0,171.5325929679474,0.9349726399876018,45.6092177351028,89.60162851758476,0,20.30294753888253,3.148845435255316,0,159.597611866813,,
South Korea,8.138587251395577,153.9648259705223,239.63998484776246,145.90966948800002,2.7886788020240014,30.526256636526,4.333441003769735,585.3014440000001,7.0344396084164655,153.26762926596572,208.5179835565958,160.183721,3.877981,37.048594562822004,4.068198940890284,573.9985479346902,,
Taiwan,5.69202096,91.15387351599999,126.43383549400002,32.323432000000004,5.544795913000001,7.8872100529999996,5.023505424999996,274.058673361,4.242404361999999,99.876024265,125.95560160900001,31.440245030000003,3.02200535,10.3168923705,4.939829775500016,279.793002762,,
Thailand,1.1248018300000002,121.840620661,35.825220458,0,6.309958,21.403670967000007,-0.0012503030000345916,186.503021613,0.721561,113.859153366,36.823168077000005,0,4.539848,20.502122496370006,-0.0010934910000912623,176.44475944836992,,
Vietnam,1.394455538184259,42.48807855177548,110.8158527920233,0,67.72248356686796,4.118112004075661,0.9220175470733523,227.461,1.2401507648317724,35.06874458381991,118.57491657804839,0,68.96491824689112,9.453920164120253,1.187833762288534,234.49048409999997,,
Other Asia Pacific,43.077942036319094,239.16695757615057,143.68556838226218,9.182601683435307,144.4915713321955,34.10367341046994,0.7742466912847839,614.4825605970487,40.49996498736775,233.49376866811247,141.3861976601459,9.344590147885242,149.33190816180803,34.93398578053813,0.7551592953848858,609.7455747726488,,
Total Asia Pacific,145.07625048146127,1497.0844363893812,7397.445523452633,646.9147352714355,1791.4781996418556,1149.2219493982425,114.34992470557908,12741.57101882552,123.80457556099002,1456.8785524444547,7386.395683654749,654.7812053848852,1847.216313228521,1322.0077835801521,128.25002110263299,12919.334135027793,,
Total World,820.5002323054757,6323.843608515431,9826.24312644675,2796.6020932423535,4227.883280231851,2789.2228333248636,216.65567808830633,27000.950850926718,758.0284981119571,6268.077593093616,9421.40352952797,2700.102499822615,4296.802045137173,3147.006852809762,231.82733153274143,26823.24835002229,,
