US dollars per barrel,b,c,d,e
1950,1.71,18.370948283099995,,
1951,1.71,17.0211195126,,
1952,1.71,16.6626403965,,
1953,1.93,18.6565203405,,
1954,1.93,18.5666093991,,
1955,1.93,18.641535183599995,,
1956,1.93,18.371802359399997,,
1957,1.9,17.451884541,,
1958,2.08,18.6099602416,,
1959,2.08,18.4484621776,,
1960,1.9,16.586420557,,
1961,1.8,15.559717319999995,,
1962,1.8,15.392007791999998,,
1963,1.8,15.21032247,,
1964,1.8,15.000685559999999,,
1965,1.8,14.749121267999998,,
1966,1.8,14.34848184,,
1967,1.8,13.943183813999998,,
1968,1.8,13.384152054000001,,
1969,1.8,12.699338147999999,,
1970,1.8,11.991231251999997,,
1971,2.24,14.2963055424,,
1972,2.48,15.3466641048,,
1973,3.29,19.166999156899998,,
1974,11.58,60.809766700199994,,
1975,11.53,55.47424852969999,,
1976,12.8,58.205558656,,
1977,13.92,59.407683988799995,,
1978,14.02,55.65230398773005,,
1979,31.61,112.6861668044077,,
1980,36.83,115.67972245145629,,
1981,35.93,102.300101540154,,
1982,32.97,88.42485668393782,,
1983,29.55,76.7857936746988,,
1984,28.78,71.68989971126082,,
1985,27.56,66.29025241635686,,
1986,14.43,34.07520739051095,,
1987,18.4350393700787,41.99992054937886,,
1988,14.9238416988417,32.64965675332983,,
1989,18.22611328125,38.041279068012855,,
1990,23.7258203125,46.981662439926836,,
1991,20.0009143968872,38.006289691430055,,
1992,19.3208365758755,35.6410907700564,,
1993,16.9716342412451,30.397547609763908,,
1994,15.817626459144,27.62331795895761,,
1995,17.0166796875,28.898319465889514,,
1996,20.668488372093,34.09325776972442,,
1997,19.0925875486381,30.78736246760483,,
1998,12.7156614785992,20.18989609164256,,
1999,17.9700778210117,27.916289381355696,,
2000,28.49544921875,42.82773349450584,,
2001,24.4438910505837,35.721896593408346,,
2002,25.0232558139535,35.999410008144075,,
2003,28.830703125,40.552734274371595,,
2004,38.265,52.426696214928526,,
2005,54.5210894941634,72.25119146479223,,
2006,65.1440625,83.63095218098958,,
2007,72.3890784313725,90.35839230788719,,
2008,97.255972762646,116.9092653919043,,
2009,61.6712648221344,74.39836354512938,,
2010,79.495533596838,94.3533704448914,,
2011,111.255597609562,128.00880448889853,,
2012,111.669702380952,125.88023791090608,,
2013,108.658517786561,120.71764165428658,,
2014,98.9460079051383,108.17245899202803,,
2015,52.3867588932806,57.20378477463154,,
2016,43.7341699604743,47.16064223810269,,
2017,54.1924404761905,57.21931997423033,,
2018,71.3100597609562,73.49786296994043,,
2019,64.2105731225296,65.00272881405557,,
2020,41.8383464566929,41.8383464566929,,
1861-1944 US Average.,,,,
1945-1983 Arabian Light posted at Ras Tanura.,,,,
1984-2020 Brent dated.,,,,
$2020 (deflated using the Consumer Price Index for the US),,,,
