Title,Technology Broad Category,Technology Mid-Type,Technology Sub-Type,Status,Description,Rated Power (kW),Duration (hours),Latitude,Longitude,Image,Service / Use Cases,Street Address,City,State,Postal Code,Country,URL,Announced,Commissioned,Constructed,Decommissioned,isoRto,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Ownership Model,Equity Owner 1,Equity Owner 1 Percent,Equity Owner 2,Equity Owner 2 Percent,Energy Storage Technology Provider,Power Electronics Provider,Integrator Company,O&M Contractor,Developer,EPC 1,EPC 2,EPC 3,Debt Provider,Projected Project Lifetime (Years),Performance,Capital Expenditure,Operating Expense,Funding Source 1,Funding Source Detail 1,Funding Amount 1,Funding Source 2,Funding Source Detail 2,Funding Amount 2,Funding Source 3,Funding Source Detail 3,Funding Amount 3,Research Institution,Research Description,Research Institution URL,Contact Name,Contact Email,Contact Phone,Contact Street Address,Contact City,Contact State/Province,Contact Zip,Contact Country,Black Start,Demand Response,Distribution upgrade due to solar,Distribution upgrade due to wind,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality),Grid-Connected Residential (Reliability),Load Following (Tertiary Balancing),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Ramping,Renewables Capacity Firming,Renewables Energy Time Shift,Resiliency,Stationary Transmission/Distribution Upgrade Deferral,Transmission Congestion Relief,Transmission Support,Transmission upgrades due to solar,Transmission upgrades due to wind,Transportable Transmission/Distribution Upgrade Deferral,Transportation Services,Voltage Support,qqqq,rrrr
Fadalto Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"Pumped hydro was first used in Italy and Switzerland in the 1890&#039;s.Â  In essence, hydro pumped storageÂ is electricity generated from the kinetic energy of falling water. This water is pumped into storage reservoirs using excess power during low demand periods and then released during high demand periods.",210000,0,46.0714347,12.34,,"Electric Supply Capacity, Electric Energy Time Shift, ",,Fadalto,Veneto,,Italy,http://www.enel.it/it-IT/impianti/mappa/dettaglio/fadalto-vittorio-veneto/p/090027d98192fab1,,01-01-1971,,,,Enel,Investor Owned,Transmission,,Utility-Owned,Enel,0,,,,,,,,,,,,0,Annual Production: 344.8 GWh,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Cardos Valley Hydroelectric Complex - Montamara Power Station,Pumped Hydro Storage,Pumped Hydro Storage,Pumped Hydro Storage,Operational,"Located in the Catalan town of TavascÃ¡n, the Hydroelectric Complex Cardos Valley was built between 1959 and 1974 by the construction Copisa . The complex comprises three hydropower plants:  LlavorsÃ­ hydroelectric power station. It was built between 1960 and 1966, and initially had an installed capacity of 52,000 kW .  Hydroelectric top TavascÃ¡n. It was built between 1962 and 1971. It had a flow rate of 14 mÂ³ / s, a vertical drop of 875 m and a capacity of 185,000 HP.  Cental lower hydroelectric TavascÃ¡n. It was built between 1963 and 1971. It had a flow rate of 14 mÂ³ / s, a vertical drop of 245 m and a capacity of 42,000 HP.  Montamara hydroelectric power station. It was built between 1962 and 1971. It had a flow rate of 16 mÂ³ / s, a vertical drop of 725 m and a capacity of 90,000 HP. Montamara is formed by two groups which act also as generation pump. It was the first reversible center of Catalonia.  Alto Hydroelectric Complex Cardos consists of more than 75 km. tunnels and underground channels. They built for almost 20 years, participated in its construction more than 4,000 workers. Currently, the Central TavascÃ¡n is one of the only of these visitable features.  These plants use water mainly natural glacial lake with more capacity in the Spanish Pyrenees, Crtescans lake located 2,300 m above sea level with a capacity of 18,000,000 L of water and a depth of approximately 100 m.",90000,0,42.644804,1.26,,"Electric Energy Time Shift, ",,Tavascan,Catalonia,,Spain,https://es.wikipedia.org/wiki/Complejo_Hidroel%C3%A9ctrico_Valle_de_Card%C3%B3s,,01-01-1971,01-01-1962,,,ENEL SPA,,,,Utility-Owned,ENEL SPA,0,,,,,,,,Copisa,,,,0,http://tavascan.wix.com/tavascan#!tavascan/c1tsl,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Å»ydowo Pumped Storage Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"In the plant there are installed three turbo complexes of Czech production equipped in Francis turbines , one of whose is classic generator and two others are reversible machines for electric power production and to water pumping to the upper tank.",156000,0,54.0216713,16.74,,"Electric Energy Time Shift, Electric Supply Capacity, Electric Supply Reserve Capacity - Spinning, ",,Å»ydowo,Pomerskie,76-012,Poland,http://globalenergyobservatory.org/geoid/42470,,01-01-1971,,,,,,Transmission,,Third-Party-Owned,Energa Hydro Sp. z oo,0,,,"CKD, Skoda",,,,,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Salina Pumped Storage Project,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"The Salina Pumped Storage Project is a 260-megawatt (MW) pumped-storage power station near Salina, Oklahoma. It is owned and operated by the Grand River Dam Authority (GRDA). Its construction was in response to growing power demands and a lack of dam sites on the Grand River. The first phase was completed in 1968 and the second in 1971. The upper reservoir for the power station is Lake W. R. Holway which was built on Saline Creek and the lower reservoir is Lake Hudson on the Grand River. During periods of lower power demand, water is pumped from Lake Hudson to Lake Holway and released back down through the pump-generators during periods of high energy demand.  The project was constructed in two stages:  Stage 1 consisted of building an earth and rock filled dam in Chimney Rock Hollow 185 feet (56 m) high, creating Chimney Rock Reservoir. A canal 1,850 feet (560 m) long led from the dam to a forebay structure that had openings for steel penstocks,each 14 feet (4.3 m) in diameter. Three penstocks led from the forebay to a powerhouse that housed three 64,000 horsepower pump-generators, with a total rated capacity of 130 megawatts. This stage was completed in 1968.  Stage 2 comprised building three more penstocks, extending the powerhouse and adding three more pump-generators, all identical to those installed in Stage 1. This doubled the facility&#039;s capacity to 260 mw. It was completed in 1971.  The SPSP is controlled remotely from the GRDA Energy Control Center at the Robert S. Kerr Dam, which created Lake Hudson.",260000,0,36.26566,-95.1,,"Electric Energy Time Shift, Electric Supply Capacity, ",,Salina,Oklahoma,,United States,http://www.grda.com/electric/facilities/salina-pumped-storage-project/,,01-01-1971,,,SPP,,,Transmission,,Third-Party-Owned,Grand River Dam Authority (GRDA),100,,,,,,,Grand River Dam Authority (GRDA),,,,,0,Performance metrics not available.,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Mormon Flat Pumped Hydro Storage,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"Mormon Flat Dam is named after nearby Mormon Flat, a place where pioneers from Utah stopped to camp en route to the Valley. The dam, built between 1923-25, is 224 feet high and 380 feet long. Two hydroelectric generating units are at the dam; one is a conventional unit rated at 10,000 kW; the other is a pumped storage unit built in 1971 and rated at 50,000 kW. The pumped storage unit permits recycling of water for hydroelectric production and keeps lake levels relatively constant.",50000,0,33.465908,-112.03,,"Electric Energy Time Shift, Electric Supply Capacity, ",,Tonto National Forest,Arizona,,United States,http://www.srpnet.com/water/dams/mormon.aspx,,01-08-1971,,,,Salt River Project,Public Owned,Transmission,,Third-Party-Owned,Bureau of Reclamation,100,,,,,,,,Bechtel Corporation,,,,0,Performance metrics not available.,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Kyivska (Kijev) Pumped Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"Kijev hydropower plant at Kijev dam are two integrated hydropower plant at the town Kijev , receiving hydropower from a separate jordfyllingsdam in the river Dnepr in Ukraine. Part of the production comes from a pumped storage power plant components from a traditional hydropower plant 25 km below the pump itself. The flow of water from the dam is 14,440 mÂ³ / sec, and the vertical drop height up to 12.0 meters. Pump power plant uses the pent-up reservoir at 3 km Â³ of water power plant as its lower reservoir.   The traditional hydropower plant has an installed capacity of 378 MW distributed on 20 turbines, while pumping plant delivers 235 MW (net 135 MW) in 6 turbines. The annual output is up to 625 GWh of electricity. Dam was completed in 1968 , while pumping plant was completed in 1972 . The dam has locks for river traffic.  http://www.industcards.com/hydro-ukraine.htm  http://www.ecu.gov.ua/",603000,0,50.5904776,30.48,,"Electric Energy Time Shift, Electric Supply Capacity, ",,Vyshhorod,Kiev,,Ukraine,http://no.wikipedia.org/wiki/Kijev_vannkraftverk,,01-01-1972,,,,,,,,Third-Party-Owned,UKRHYDROENERGO OJSC,0,,,,Kharkov,,,,Dniprogidroenergo,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
RuÅ¾Ã­n Pumped Storage Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,The RuÅ¾Ã­n pumped storage power plant on the HornÃ¡d river is the countryÂ´s first pumped storage power plant to feature reversible turbines - there are two sets having a Francis turbine here.,60000,0,48.86311,21.09,,"Electric Energy Time Shift, Electric Supply Capacity, Electric Supply Reserve Capacity - Spinning, ",,RuÅ¾Ã­n,Kosice,,Slovakia,http://www.seas.sk/en/power-plants/fuel-type/hydro/ruzin-hpp,,01-01-1972,,,,,,Transmission,,Third-Party-Owned,SlovenskÃ© ElektrÃ¡rne,0,,,"CKD, Skoda",,,,,,,,,0,Annual generation: 54.2 GWh,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Shin Toyone Pumped Storage,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"The Shintoyone pumped storage project was implemented utilizing the existing Sakuma Reservoir as its lower reservoir. Two 1,884m-long headrace tunnels connect water in the Shintoyone Reservoir to the underground powerhouse which was constructed adjacent to the Sakuma Reservoir without lowering the water level in the reservoir. The powerhouse has an installed capacity of 1,125MW with a head of 203m.",1125000,0,35.1467376,137.72,,"Electric Energy Time Shift, Electric Supply Capacity, ",,Toyone,Aichi,,Japan,http://www.jpower.co.jp/english/international/consultation/detail_old/se_as_japan36.pdf,,01-01-1972,01-11-1969,,,,,Transmission,,Third-Party-Owned,"Ministry of Land, Infrastructure, Transport and Tourism",0,,,,,,"Electric Power Development Co., Ltd.(EPDC)",,J-Power,,,,0,Performance metrics not available.,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
DeGray Lake Pumped Hydro Storage,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,The dam at DeGray Lake houses a 28 MW pump-turbine and is owned by the US Army Corps. of Engineers. Electrical power from this facility is sold to Southwest Power Administration of the U.S. Department of Energy.,28000,0,34.213624,-93.11,,"Electric Energy Time Shift, Electric Supply Capacity, ",,DeGray Lake,Arkansas,,United States,http://www.encyclopediaofarkansas.net/encyclopedia/entry-detail.aspx?entryid=5527,,01-01-1972,,,,,,Transmission,,Third-Party-Owned,US Army Corps. of Engineers,100,,,,,,,,,,,,0,Performance metrics not available.,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Vilarinho Furnas Pumped Hydro Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"EDP is currently one of the largest utility companies in Portugal with 1.3 GW of operational hydro power. EDP currently has an additional 1.4 GW under construction, a majority of which is scheduled to come online in 2015.",125000,1103.2,41.763285,-8.21,,"Electric Supply Capacity, Electric Energy Time Shift, ",,Assento,Portugal,,Portugal,http://www.a-nossa-energia.edp.pt/centros_produtores/empreendimento.php?item_id=63,,01-01-1972,,,,Energias de Portugal (EDP),Investor Owned,,,Utility-Owned,Energias de Portugal (EDP),0,,,,,,,,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
RoÃŸhag Pumped Storage Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"History of the Power Plant  Since RoÃŸhag power plant is located in an avalanche-prone area, it was necessary for the entire construction to be carried out with appropriately solid material, whereby the construction elements are able to withstand a pressure of 20 to 50 t/mÂ². A total of ten deep borehole explosions had to be carried out in the excavation of the construction pit. The building is in paint-ready, in-situ concrete, supplemented by prefabricated concrete units, executed and divided into three blocks of roughly equal lengths by means of expansion joints. The roof over the machinery hall comprises prefabricated, reinforced concrete components. The uphill-facing distribution lines were embedded in a solid concrete block.  Strain was nevertheless caused by the encasing in concrete of the pumps and turbine coils, as well as the firm anchoring of the building with the rock. In the surface construction, pillars were covered with concrete at intervals of some 6 m and connected via two 8 or 15 m reinforced concrete girders that lay across the operating floor. The lower girder is connected to the rock by means of high tensile bars; the upper girder serves for slope stabilisation and simultaneously forms the uphill support for the roofing slab. The flat roofs are landscaped with vegetation. The concrete surfaces have a light-coloured interior coating; the floors of the machinery hall and the upper part of the walls are clad with red clinker slabs. The closures are designed as armoured doors.",231000,0,47.0867914,11.77,,"Renewables Capacity Firming, Renewables Energy Time Shift, ",,Kraftwerk RoÃŸhag,Tyrol,,Austria,http://www.verbund.com/pp/en/pumped-storage-power-plant/rosshag,,01-01-1972,,,,,,,,Third-Party-Owned,VERBUND Hydro Power AG,100,,,,,,,,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,,
Northfield Mountain Pumped Storage Hydroelectricity Facility ,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"Located in Northfield, Massachusetts, approximately five and one-half miles up the Connecticut River from Turners Falls Dam, the 1,080 megawatt plant is entirely underground and does not depend upon the natural flow of the river for operation. Utilizing energy that is generated at nuclear and the more efficient of our fossil plants, water from the lower reservoir is pumped to an upper reservoir during periods of low power demand. The water is stored in the upper reservoir and then, at times of high electric demand, is released down a 1,100-foot-long pressure shaft to power a turbine generator and continues to the lower reservoir where it is stored until it again resumes its cycle to the upper reservoir.  The 20-mile stretch of the Connecticut River, extending from the dam at Turners Falls north to the Vernon Dam in Vermont, serves as the station&#039;s lower reservoir.  The man-made 300-acre upper reservoir, 800 feet above the river, is capable of storing 5.6 billion gallons of water with an estimated power potential of 8,500 MWh.  The underground powerhouse includes four large reversible turbines, each capable of pumping 27,000 gallons of water per second. The powerhouse is accessible through a 2,500-foot-long tunnel. Seven hundred feet below the surface, the cavern is longer than a football field and higher than a ten-story building.",1119000,7.58,43,0,,"Electric Energy Time Shift, Electric Supply Capacity, ",99 Millers Falls Road,Northfield,Massachusetts,1360,United States,http://gdfsuezna.com/northfield-mountain/,,01-01-1972,01-01-1968,,ISO-NE,,,,,Third-Party-Owned,FirstLight Power Resources (GDF Suez Energy North America),100,,,,,,FirstLight Power Resources (GDF Suez Energy North America),Northeast Utilities,,,,,0,,140000000,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Castaic Pumped-Storage Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"The pumping forebay, which is separated from the main reservoir by a dam located downstream from the Castaic Power Plant, functions in connection with the pumped storage operations of the plant. This assures the availability of at least 10,000 acre feet (12,000,000 m3) of water which can be pumped back to Pyramid Lake by the use of off peak energy when economical to do so. The pumping function at Castaic hydroelectric plant provides additional water for power generation beyond the supply of water available from the flow of the State Aqueduct.   The City of Los Angeles has need for capacity to meet its peak requirements ranging from 3 to 6 hours per day in the winter to 6 to 10 hours per day in summer, depending upon climatic conditions. The water which normally flows through the West Branch of the State Aqueduct during off peak periods, is stored in the higher level Pyramid Lake. This water can be channeled through the turbine generators in a very short time to immediately meet short time peak demands on the DWP&#039;s electric system. If the need exists for power for longer than normal peak demand periods, extra water can be pumped back to Pyramid Lake from Elderberry Lake to extend the peaking period.",1247000,10,34.6548333,-118.78,,"Electric Energy Time Shift, Electric Supply Reserve Capacity - Spinning, ",,Pyramid Lake,California,,United States,http://ekwestrel.com/castaic-lake-hydroelectric-power-plant-facility/castaic-lake-hydroelectric-power-plant-facility/,02-09-1966,01-01-1973,,,,Los Angeles Department of Water and Power,Public Owned,,,Utility-Owned,Los Angeles Department of Water and Power,0,Department of Water Resources of the State of California,,,,,,,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
San Fiorano Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"The central San Fiorano is a hydroelectric power generation and pumping owned by ENEL with a total capacity of 568 MW and an average annual production of 342 GWh . It is located in Scianica, in the territory of Joint Sellero, in the province of Brescia.  Equipped with Pelton turbines is the hydroelectric plant Italian with the highest average difference between basin and turbine: 1403.80 meters (the minimum is 1361.50 m and the maximum is 1439.70 m)",568000,0,46.0551036,10.35,,"Electric Energy Time Shift, Electric Supply Capacity, ",,Scianica,Brescia,,Italy,http://it.wikipedia.org/wiki/Centrale_idroelettrica_di_San_Fiorano,,01-01-1973,01-01-1968,,,Enel,Investor Owned,Transmission,,Utility-Owned,Enel,0,,,,,,,,,,,,0,Average annual production of 342 GWh,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Roncovalgrande (Lago Delio) Hydroelectric Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"The Roncovalgrande Hydroelectric Plant, also known as the Delio Hydroelectric Plant, is located 3 km (2 mi) north of Maccagno in the Province of Varese, Lombardy, Italy.  At the power plant, eight four-stage Pelton turbine-generators generate electricity. Power generation occurs during periods of high energy demand and when energy demand is low, pumping usually occur. The pumps are on the same shaft as the Pelton turbines and send water from the lower to the upper reservoir to serve as stored energy. In the future, this water is sent back down to the power station and the process repeats. The difference in elevation between the upper and lower reservoirs affords a hydraulic head of 736.25 m (2,416 ft) and Lago Delio has a usable storage capacity of 10,000,000 m3 (8,107 acreÂ·ft).",1000000,0,46.0033754,8.69,,"Electric Energy Time Shift, Electric Supply Capacity, ",Lake Maggiore,Maccagno,Varese,,Italy,http://www.enel.it/it-IT/impianti/mappa/dettaglio/roncovalgrande-maccagno/p/090027d98192f884,,01-01-1973,,,,Enel,Investor Owned,Transmission,,Utility-Owned,Enel,100,,,,,,,,,,,,0,Annual Generation: 983.48 GWh,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Tumut Hydroelectric Power Station 3,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"Tumut 3 Power Station is the first pumped storage hydroelectric power station in Australia. Pump-storage schemes use off-peak energy to pump water to a reservoir on a higher level. This water then passes through turbines to generate electricity when prices are higher. The sole powerhouse is located above ground, approximately 1,800 metres (5,900 ft) below Talbingo Dam.   The power station is fitted with six Toshiba turbines, three of which are reversible pump-turbines. All six turbines are equipped with Melco-manufactured generators, and they have a combined generating capacity of 1,500 megawatts (2,000,000 hp) of electricity.   The power station was completed in 1973, and has 150.9 metres (495 ft) rated head. Water is pumped through six pipelines, each 488 metres (1,601 ft) long and 5.6 metres (18 ft) in diameter, delivering water to Talbingo Reservoir.   During 2003, Snowy Hydro commissioned six 140 kilowatts (190 hp) micro-hydro generators on the existing cooling water systems on each of the six generating units at Tumut 3 Power Station. These GreenPower accredited units enable Snowy Hydro to save approximately 3,137 tonnes (3,458 short tons) of carbon dioxide per annum. In addition, this installation not only captures previous wasted renewable energy, but also will be substantially reducing the noise that was associated with the previous pressure reducing valves on the six generating unit&#039;s cooling systems. Between 2009 and December 2011, there was a major upgrade of Tumut 3, adding additional capacity in the range of 25 megawatts (34,000 hp) to 50 megawatts (67,000 hp) per unit.",1500000,0,-35.6239558,148.3,,"Electric Energy Time Shift, Electric Supply Capacity, ",Talbingo Dam,Talbingo,New South Wales,,Australia,http://www.snowyhydro.com.au/,,01-01-1973,,,,,,Transmission,,Third-Party-Owned,Snowy Hydro Limited,0,,,Toshiba,,,,,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Ruselkraftwerke Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"The Rusel Power Plant scheme incorporates a diesel power station, a traditional hydroelectric power station, and a pumped storage power station utilizing two turbines rated at 1.75 MW each. The power complex as a whole has a rated capacity of 39 MW.",3500,0,48.8555897,13,,"Electric Energy Time Shift, Electric Supply Capacity, ",,Deggendorf-Mietraching,Bavaria,,Germany,http://de.wikipedia.org/wiki/Ruselkraftwerke,,01-01-1973,,,,,,Transmission,Diesel Power Plant,Third-Party-Owned,Rusel Mbh,0,,,,,,,Rusel Mbh,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Guillena Hydroelectric Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"The hydraulic power Guildford is a pumping station. Such plants have a reversible operation, ie during periods of low energy demand can pump water to the upper reservoir at night when there is excess electricity production. Thus, during periods when it is necessary to produce, available water in the upper reservoir. When acting as a conventional hydraulic power, water drives turbines that generate the rotation of the alternator , and thus to generate electricity. Otherwise, the plant has a hydraulic pumps that send water to an upper reservoir for later use. In this case, the hydroelectric plant uses Guildford Gergal reservoir to store water. Such plants can be of two types, turbine and pump or reversible turbine.",215000,0,37.5429955,-6.06,,"Electric Supply Capacity, Electric Energy Time Shift, ",,Guillena,Andalucia,,Spain,http://www.endesaeduca.com/Endesa_educa_Ingles/conocenos/oferta_actividades/ch-guillena,,01-01-1973,,,,Endesa,Investor Owned,,,Utility-Owned,Endesa,0,,,,,,,,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
O&#039;Neill Pump-Generating Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"The O`Neill Pump-Generating Plant pumps Central Valley Project water for offstream storage.  The O`Neill Pump-Generating Plant consists of an intake channel leading off the Delta-Mendota Canal and six pump-generating units. Normally these units operate as pumps to lift water from 45 to 53 feet into the O`Neill Forebay. Water is occasionally released from the forebay to the Delta-Mendota Canal, and these units then operate as generators. When operating as pumps and motors, each unit can discharge 700 cubic feet per second and has a rating of 6,000 horse-power. When operating as turbines and generators, each unit has a generating capacity of about 4,200 kilowatts.  O`Neill, which operates primarily as a pumping plant only generates part of the year. The authorizing legislation for O`Neill states that power generated at the facility cannot be used for commercial purposes. Therefore, the generation produced at O`Neill is allocated as project-use power for the Central Valley Project and the cost associated with generation is allocated to the irrigation component of Central Valley Project.  Availability Factor: 89.6; Net Generation: 5,404,000 kWh",25200,0,37.0582786,-120.85,,"Electric Energy Time Shift, Electric Supply Capacity, Frequency Regulation, ",,Los Banos,California,,United States,http://www.usbr.gov/projects/Powerplant.jsp?fac_Name=O%60Neill+Powerplant+*,,01-01-1973,,,CAISO,,,Transmission,,Third-Party-Owned,Bureau of Reclamation,0,,,,,,,,,,,,0,http://www.usbr.gov/projects//ImageServer?imgName=Doc_1240941910659.pdf,0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
Ludington Pumped Storage,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,"The Ludington Pumped Storage Plant sits on a 1,000-acre site along the Lake Michigan shoreline. The plant was built between 1969-73 and is jointly owned by Consumers Energy and Detroit Edison, and operated by Consumers Energy. The plant contributes directly to local governments about $11 million in annual property taxes.  Revenue from plant operations, maintenance and overhauls also contribute significant sums to the local economy.  Local residents still refer to the plant as â€œThe Projectâ€.  One of the worldâ€™s biggest electric â€œbatteriesâ€, Ludington can provide energy at a momentâ€™s notice. Its ability lies in its 27-billion gallon reservoir and a set of six turbines that drive electric generators.  Those same turbines double as giant water pumps to fill the reservoir with water from Lake Michigan. At night, when electric demand is low, Ludingtonâ€™s reversible turbines pump water 363 feet uphill from Lake Michigan. The water is pumped through six large pipes, or â€œpenstocksâ€, to the 842-acre reservoir. During the day, when electric demand is high, the reservoir releases water to flow downhill through the penstocks. The flowing water turns turbines and generators in the powerhouse to make electricity. The plant can generate up to 1,872 megawatts â€” enough electricity to serve a community of 1.4 million residential customers. The output is more than double the capacity of any single unit on Consumers Energyâ€™s system. Ludingtonâ€™s relatively simple technology enables the plant to respond quickly to the daily, weekly and seasonal highs and lows of Michiganâ€™s energy demand. The plant also saves customers money by enabling Consumers Energy to avoid the expensive spot market when customer demand exceeds the capacity of the companyâ€™s baseload plants.  The immense size of Ludington and its six-unit design offers flexibility in balancing customer demand with electric output on a momentâ€™s notice.   Consumers Energy and Detroit Edison announced an $800 million upgrade on February 7 2011. The six year project would begin in 2013 and extend the plant&#039;s life by at least forty years and upgrade the generating capacity from 1,872 megawatts to 2,172 megawatts.",1872000,8,43.894481,-86.44,,"Electric Energy Time Shift, Electric Supply Capacity, Electric Supply Reserve Capacity - Spinning, Load Following (Tertiary Balancing), ",,Ludington,Michigan,,United States,http://www.consumersenergy.com/content.aspx?id=1830,,01-01-1973,01-07-1969,,MISO,Consumers Energy,Public Owned,Transmission,,Utility-Owned,Consumers Energy,0,Detroit Edison,,,,,,,,,,,0,"All six units can quickly produce 312 megawatts each during peak demand periods. The plantâ€™s turbines are rated at 433,000 horsepower â€” more than an aircraft carrier engine.",0,0,,,0,,,0,,,0,,,,,,,,,,,,0,0,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
